PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT
J	GUINNESS, B				GUINNESS, B			IN SEARCH OF YEATS,W.B. - 100 IMAGINARY PORTRAITS - FRENCH - LEBROCQUY,L	APOLLO-THE INTERNATIONAL MAGAZINE OF THE ARTS			English	Book Review																LEBROCQUY L, 1976, A RECHERCHE WB YEATS	1	0	0	APOLLO MAGAZINE LTD	LONDON	29 CHESHAM PLACE, LONDON, ENGLAND SW1X 8HB	0003-6536		APOLLO	Apollo-Int. Mag. Arts		1982	116	247					201	201				1	Art	Art	PF976	WOS:A1982PF97600031	
J	BOUGIE, P				BOUGIE, P			THE PSALMISTS AND THE IMAGINARY - PSALMS AND SYMBOLS - FRENCH - MONLOUBOU,L	CATHOLIC BIBLICAL QUARTERLY			English	Book Review										BOUGIE, P (reprint author), GRAND SEMINAIRE MONTREAL,MONTREAL,QUEBEC,CANADA.						MONLOUBOU L, 1980, IMAGINAIRE PSALMISTE	1	1	1	CATHOLIC BIBLICAL ASSOC AMER	WASHINGTON	CATHOLIC UNIV AMERICA, 620 MICHIGAN AVE, NE, WASHINGTON, DC 20064	0008-7912		CATH BIBLICAL QUART	Cathol. Biblic. Q.		1982	44	2					299	300				2	Religion	Religion	NN877	WOS:A1982NN87700019	
J	ANTONIO, RJ				ANTONIO, RJ			THE IMAGINARY WITNESS - THE CRITICAL-THEORY OF MARCUSE,HERBERT - SCHOOLMAN,M	CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS			English	Book Review									UNIV KANSAS,LAWRENCE,KS 66045							SCHOOLMAN M, 1980, IMAGINARY WITNESS CR	1	0	0	AMER SOCIOLOGICAL ASSOC	WASHINGTON	1722 N ST NW, WASHINGTON, DC 20036-2981	0094-3061		CONTEMP SOCIOL	Contemp. Sociol.-J. Rev.		1982	11	6					774	776		10.2307/2068631		3	Sociology	Sociology	PR524	WOS:A1982PR52400178	
J	WALKER, KL				WALKER, KL			IMAGINARY, LANGUAGE, CULTURAL-IDENTITY, NEGRITUDE - FRENCH - LEINER,J	ESPRIT CREATEUR			English	Book Review										WALKER, KL (reprint author), DARTMOUTH COLL,HANOVER,NH 03755, USA.						LEINER J, 1980, IMAGINAIRE LANGAGE I	1	0	0	ESPRIT CREATEUR	BATON ROUGE	LOUISANA STATE UNIV DEPT FRENCH ITAL, BATON ROUGE, LA 70803	0014-0767		ESPRIT CREATEUR	Esprit Creat.		1982	22	1					91	92				2	Literature, Romance	Literature	PA290	WOS:A1982PA29000011	
J	[Anonymous]				[Anonymous]			WILD BREAD - AN IMAGINARY OF HUNGER FROM THE RENAISSANCE TO THE 18TH-CENTURY - FRENCH - CAMPORESI,P	HISTOIRE			French	Book Review																CAMPORESI P, 1981, PAIN SAUVAGE IMAGINA	1	0	0	SOC ED SCIENTIFIQUES	PARIS 06	57 RUE DE SEINE, 75280 PARIS 06, FRANCE	0182-2411		HISTOIRE	Histoire		1982		42					109	110				2	History	History	MY755	WOS:A1982MY75500029	
J	COTTRET, M				COTTRET, M			FROM THE IMAGINARY PAST TO THE REVOLUTIONARY PAST - MODELS OF RESISTANCE AND THE RESISTANCE OF MODELS	HISTORY OF EUROPEAN IDEAS			Russian	Article																ASTRUC J, 1753, CONJONCTURES MEMOIRE; Barnes A., 1938, J LECLERC 1657 1736; CALMET A, 1720, PROLEGOMENES ECRITUR; CALMET A, 1720, DICT HIST CRITIQUE C; CALMET A, 1719, HIST ANCIEN NOUVEAU; Calmet Augustin, 1707, COMMENTAIRE LITTERAL; CARADEUXDELACHA.LR, 1762, COMPTE RENDU CONSTIT; COTTRET M, 1979, 1977 C PRIV HIST CLA, P159; COTTRET M, 1979, THESIS PARIS; DAINVILLE FD, 1940, JESUITES ED SOC FRAN; DASFELD, 1738, VAINS EFFORTS MELANG; Duby Georges, 1973, DIMANCHE BOUVINES; DUCHET M, 1977, ANTHR HIST AU SIECLE; DUGUET JJ, 1727, CROIX NS JESUSCHRIST; DUGUET JJ, 1716, REGLES INTELLIGENCE; DUGUET JJ, 1724, DISSERTATIONS AUTEUR; DUGUET JJ, 1739, I PRINCE; Febvre Lucien, 1968, PROBLEME INCROYANCE; FLEURY C, 1691, HIST ECCLESIASTIQUE, V2; FLEURY C, MOEURS CHRETIENS; FLEURY C, 1724, DISCOURS HIST ECCLES; FLEURY C, 1691, HIST ECCLESIASTIQUE, V1; FLEURY C, 6 PREMIERS SIECLES E; FREUD S, 1948, MOISE MONOTHEISME; GAZIER A, 1906, REV INT ENSEIGNEMENT, V51; HILL C, 1974, CENTURY REVOLUTION; Kreiser B. Robert, 1978, MIRACLES CONVULSIONS; LAFITEAU PF, 1766, HIST CONSTITUTION UN, V2; LEBRUN J, 18 SIECLE; LEGROS N, 1733, MEMOIRES DROITS 2ND; MARX K, 18TH BRUMAIRE L BONA; MAULTROT GN, 1779, DROITS PRETRES; PATOUILLET P, 1734, NOUVELLES ECCLESIA S; QUENIART J, 1978, HOMMES EGLISE DIEU D; SACY LD, 1715, SAINTE BIBLE LATIN F; SIMON R, 1702, NOUVEAU TESTAMENT NS; SOMMERVOGEL PC, 1865, MEMOIRES SERVIR A TA; TAVENEAUX R, 1977, JANSENISME PRET A IN; Taveneaux Rene, 1965, JANSENISME POLITIQUE; TILLEMONT S, 1707, HIST EMPEREURS PRINC; TOURNEMINE, 1933, PANEGYRIQUE LOUIS FR; TRAVERS N, 1744, POUVOIRS LEGITIMES P; Zagorin Perez, 1969, COURT COUNTRY BEGINN; 1977, ANN C U COLLEGE LOND; 1760, NOUVELLES ECCLESIAST; 1713, J TREVOUX	46	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0191-6599		HIST EUR IDEA	Hist. European Ideas		1982	3	2					193	200		10.1016/0191-6599(82)90072-9		8	Philosophy	Philosophy	NW175	WOS:A1982NW17500007	
J	LEDOEUFF, M				LEDOEUFF, M			ROUSSEL,PIERRE CHIASMAS - FROM IMAGINARY KNOWLEDGE TO THE LEARNED IMAGINATION	I & C			English	Article										LEDOEUFF, M (reprint author), ECOLE NORM SUPER,F-75231 PARIS 5,FRANCE.						ALIBERT JL, 1820, COMPLETE WORKS; ANDELIN HB, FASCINATING WOMANHOO; DELESSEPS E, QUESTIONS FEMINISTES; DIDEROT, 1753, INTERPRETATION NATUR; DIDEROT, ESSAIS PEINTURE, pCH6; DOLTO F, SEMAINE SUZETTE; DUCHET M, REV SCI HUMAINES; Faust B., 1981, WOMEN SEX PORNOGRAPH; FREUD, 3 ESSAYS THEORY SEXU; GOFFMAN E, 1977, ACTES RECHERCHE SCI, V14; GUILLAUMIN C, QUESTIONS FEMINISTES, P6; HOBSBAWM E, 1978, ACTES POUR RECH 0923; JOST A, FAIT FEMININ, P85; KANT I, 1963, HISTORY, P57; KNIBIEHLER Y, 1976, ANN ESC; KOFMAN S, ENFANCE ART, P150; KOFMAN S, ENFANCE ART; MEMMI A, ENCY UNIVERSALIS; MILL JS, SUBJECTION WOMEN, pCH3; MORE T, UTOPIA; NAVARRO E, REV FACE; OLIVIER G, ENCY UNIVERSALIS; PANOFSKY E, 1939, STUDIES ICONOLOGY, pCH4; PASCAL, 1656, COMMUNICATION    SEP; PRINGLE R, 1981, GAY INFORMATION, V7; REGALDO M, THESIS U LILLE 3, V2, P632; RIMBAUD, 1871, MAINS JEANNE MARIE; ROUSSEAU, LETT ALEMBERT, P67; ROUSSEAU JJ, EMILE, P450; ROUSSEL, FAIT FEMININ; ROUSSEL P, ESSAI SENSIBILITE; ROUSSEL P, SYSTEME PHYSIQUE MOR, P130; SULLEROT E, 1979, WOMEN LOVE; Sullerot E, 1978, FAIT FEMININ; SULLEROT E, 1966, HISTOIRE PRESSE FEMI; SULLEROT E, 1968, HISTOIRE SOC TRAVAIL; Sullerot Evelyne, 1963, PRESSE FEMININE; THOMAS, CARACTERE MOEURS ESP; Wollstonecraft Mary, 1792, VINDICATION RIGHTS W; [Anonymous], GENESIS	40	0	0	I & C PUBL LTD	OXFORD	WESTMINSTER COLLEGE NORTH HINKSEY, OXFORD, ENGLAND OX2 9AT	0309-9156		I C			1982		9					39	70				32	Psychology; Social Sciences, Interdisciplinary	Psychology; Social Sciences - Other Topics	NG705	WOS:A1982NG70500003	
J	GAEFFKE, P				GAEFFKE, P			THE ASHRAM OF LOVE - GANDHISM AND THE IMAGINARY - THOMAS,C	JOURNAL OF ASIAN STUDIES			French	Book Review										GAEFFKE, P (reprint author), UNIV PENN,PHILADELPHIA,PA 19104, USA.						THOMAS C, 1979, ASHRAM AMOUR GANDHIS	1	0	0	ASSN ASIAN STUDIES INC	ANN ARBOR	UNIV MICH 1 LANE HALL, ANN ARBOR, MI 48109	0021-9118		J ASIAN STUD	J. Asian Stud.		1982	41	3					626	627		10.2307/2055294		2	Area Studies; Asian Studies	Area Studies; Asian Studies	NR401	WOS:A1982NR40100053	
J	SHKLAR, JN				SHKLAR, JN			MODELS AND MEANS OF POLITICAL REFLECTION IN THE 18TH-CENTURY, VOL 1, ACCOUNTS OF WORLD TRAVEL AND DISCOVERY - CIRCULATION MEDIA - GAZETTES, BROCHURES, SONGS, DISCUSSIONS, LIBRARIES, VOL 2, UTOPIAS AND IMAGINARY VOYAGES, VOL 3, DEBATES AND IDEOLOGICAL BATTLES - PHILOSOPHICAL SOCIETIES, LODGES, CLUBS - MYTHS - FRENCH - U-LILL	JOURNAL OF MODERN HISTORY			English	Book Review										SHKLAR, JN (reprint author), HARVARD UNIV,CAMBRIDGE,MA 02138, USA.						1977, MODELES MOYENS REFLE, V3; 1977, MODELES MOYENS REFLE, V1; 1977, MODELES MOYENS REFLE, V2	3	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0022-2801		J MOD HIST	J. Mod. Hist.		1982	54	3					576	580		10.1086/244198		5	History	History	PJ934	WOS:A1982PJ93400027	
J	ALFORD, CF				ALFORD, CF			THE IMAGINARY WITNESS - THE CRITICAL-THEORY OF MARCUSE,HERBERT - SCHOOLMAN,M	JOURNAL OF POLITICS			English	Book Review																SCHOOLMAN M, 1980, IMAGINARY WITNESS CR	1	0	0	UNIV TEXAS PRESS	AUSTIN	BOX 7819, AUSTIN, TX 78713-7819	0022-3816		J POLIT	J. Polit.		1982	44	2					601	604		10.2307/2130609		4	Political Science	Government & Law	NY222	WOS:A1982NY22200025	
J	ADAMSON, WL				ADAMSON, WL			THE IMAGINARY WITNESS - THE CRITICAL-THEORY OF MARCUSE,HERBERT - SCHOOLMAN,M	JOURNAL OF THE AMERICAN ACADEMY OF RELIGION			English	Book Review										ADAMSON, WL (reprint author), EMORY UNIV,ATLANTA,GA 30322, USA.						SCHOOLMAN M, 1980, IMAGINARY WITNESS CR	1	0	0	SCHOLARS PRESS	ATLANTA	PO BOX 15399, ATLANTA, GA 30333-0399	0002-7189		J AM ACAD RELIG	J. Am. Acad. Relig.		1982	50	2					321	322				2	Religion	Religion	PA721	WOS:A1982PA72100032	
J	HARRIS, D				HARRIS, D			ALEIXANDRE,VICENTE OR A POETRY OF UNCERTAINTY - RESEARCH ON THE REAL AND THE IMAGINARY - FRENCH - PERSONNEAUX,L	MODERN LANGUAGE REVIEW			English	Book Review										HARRIS, D (reprint author), NATL UNIV IRELAND UNIV COLL GALWAY,GALWAY,IRELAND.						PERSONNEAUX L, 1980, V ALEIXANDRE OU UNE	1	0	0	MODERN HUMANITIES RES ASSN	LONDON	KINGS COLLEGE STRAND, LONDON, ENGLAND WC2R 2LS	0026-7937		MOD LANG REV	Mod. Lang. Rev.		1982	77	OCT					978	979		10.2307/3726556		2	Language & Linguistics; Literature	Linguistics; Literature	PL306	WOS:A1982PL30600073	
