PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM	
J	Wycisk, Jowita; Kleka, Pawel								Future psychologists' attitudes toward lesbians raising children together in the situation of child focused intervention								PSYCHIATRIA POLSKA				48	4			727	738					2014	2014	Objectives: The aim of paper was to explore the attitudes of Polish psychology students towards lesbian mothers whose children undergo psychological intervention, in an imaginary situation of providing professional support to the child. The authors found 3 types of psychologist behaviour: contact omission (withdrawal from the intervention, mother's partner exclusion), apparent appreciation of mother's partner and authentic appreciation of mother's partner (with women comparable participation). The authors explored an interaction between these attitudes and the support for gay and lesbian rights, the origin of the child (from a previous heterosexual relationship or present, homosexual one) and demographic variables.Methods: 97 students of psychology were examined at the Adam Mickiewicz University in Poznan, using the custom survey.Results: Respondents were most likely to include mother's partner to intervention, and the least - to avoid contact. Based on cluster analysis we found three types of attitude: unconditional acceptance, conditional acceptance, dependent on whether the child was born due in heterosexual or lesbian relationship and avoidance / rejection. The attitude of participants was associated with the declared support for gay rights, there was no correlation with gender and age.Conclusions: Due to the significant level of social prejudice against gays and lesbians in Poland, the issue of homosexual parenting and social functioning of gay and lesbians' children should become an area of research and scientific debate. There is a necessity of the introduction of this issue to the curricula of higher education and the implementation of formal, systematic training on sexual diversity for the professionals supporting families.									0	0	0	0	0	0033-2674		WOS:000345206500008	25314800	
J	Rogers, Douglas								Petrobarter Oil, Inequality, and the Political Imagination in and after the Cold War								CURRENT ANTHROPOLOGY				55	2			131	153		10.1086/675498			APR 1 2014	2014	Petrobarterthe exchange of oil for goods and services without reference to monetary currencyhas been a widespread and underappreciated practice among corporations, states, and state agencies over the past half century. Analyzing this practice with reference to anthropological theories of barter adds to our understandings of two significant and intertwined concerns in contemporary social science: (1) the production and reproduction of inequality at various scales, from subnational regions to the international system as a whole, and (2) the generation and fate of mobilizing political imaginaries that challenge the abstracted, universalizing imaginaries so often associated with monetized exchange, especially in capitalist contexts. Barter exchanges featuring oil are, therefore, as analytically significant as the much more commonly studied transactions of oil and money. Ethnographic and historical case studies of petrobarter are drawn from the Perm region of the Russian Urals in the post-Soviet period and the global oil trade in the early Cold War. This view from the perspective of the socialist and postsocialist world, it is argued, provides an instructive counterpoint to the many existing studies of oil and money, both in and beyond anthropology, that are situated in the European-American colonial and postcolonial periphery.									2	0	0	0	2	0011-3204		WOS:000333463700001	24991673	
J	Milhomens, Aline Ernandes; Lima, Elizabeth Maria Freire de Araújo								Esthetic reception of theatrical presentations by actors with histories of psychological distress	Recepción estética de presentaciones teatrales con actores con historia de sufrimiento psíquico.	Recepção estética de apresentações teatrais com atores com história de sofrimento psíquico						Interface - Comunicação, Saúde, Educação				0	ahead			0	0		10.1590/1807-57622013.0951			2014-04	2014	This study was developed among the audiences of theater groups in which the cast included actors with histories of psychological distress. Its aim was to investigate what is produced at the meeting point between art, madness and society, from studying the esthetic reception of these works. Semi-structured interviews were conducted with members of the audience at three theatrical shows with the intention of understand the relationship between the public and these productions, the meaning assigned to such relationships and their potential for cultural transformation surrounding madness. The interviews were analyzed through the collective subject discourse method. The analysis showed the potential that theater has for weaving a connective “thread” between madness and society, and indicated that the experience of the esthetic reception can make a major contribution towards the work of social and cultural transformation of the imaginary surrounding madness.	Esta encuesta se realizó con el público de grupos teatrales que tienen en su reparto a actores con historial de sufrimiento psíquico, con el objetivo de investigar a partir del estudio de la recepción estética de esas obras lo que produce el encuentro entre arte, locura y sociedad. Se realizaron entrevistas semiestructuradas con públicos de tres espectáculos teatrales para comprender la relación establecida por el público con esas producciones, el sentido atribuido a ellas y su potencial de transformación cultural alrededor de la locura. Las entrevistas se analizaron con el método del discurso del sujeto colectivo. El análisis dejó en evidencia el potencial del teatro para tejer el “hilo” de la conexión entre locura y sociedad e indicó que la recepción estética puede ser una gran aliada en el trabajo de transformación cultural y social del imaginario alrededor de la locura.	Esta pesquisa foi realizada com público de grupos teatrais que possuem, em seu elenco, atores com histórico de sofrimento psíquico, visando investigar, a partir do estudo da recepção estética dessas obras, o que o encontro entre arte, loucura e sociedade produz. Foram realizadas entrevistas semiestruturadas com públicos de três espetáculos teatrais, utilizando-se um roteiro de questões a fim de se compreender a relação estabelecida pelo público com essas produções, o sentido atribuído a elas e seu potencial de transformação cultural em torno da loucura. As entrevistas foram analisadas por meio do método do Discurso do Sujeito Coletivo. A análise evidenciou o potencial do teatro de tecer o “fio” de conexão entre loucura e sociedade e indicou que a recepção estética, ao compor uma experiência, pode ser grande aliada no trabalho de transformação cultural e social do imaginário em torno da loucura.							0	0	0	0	0	1807-5762		SCIELO:S1414-32832014005030951		
J	Milhomens, Aline Ernandes; Lima, Elizabeth Maria Freire de Araújo								Esthetic reception of theatrical presentations by actors with histories of psychological distress	Recepción estética de presentaciones teatrales con actores con historia de sufrimiento psíquico.	Recepção estética de apresentações teatrais com atores com história de sofrimento psíquico						Interface - Comunicação, Saúde, Educação				18	49			377	388		10.1590/1807-57622013.0951			2014-04	2014	This study was developed among the audiences of theater groups in which the cast included actors with histories of psychological distress. Its aim was to investigate what is produced at the meeting point between art, madness and society, from studying the esthetic reception of these works. Semi-structured interviews were conducted with members of the audience at three theatrical shows with the intention of understand the relationship between the public and these productions, the meaning assigned to such relationships and their potential for cultural transformation surrounding madness. The interviews were analyzed through the collective subject discourse method. The analysis showed the potential that theater has for weaving a connective “thread” between madness and society, and indicated that the experience of the esthetic reception can make a major contribution towards the work of social and cultural transformation of the imaginary surrounding madness.	Esta encuesta se realizó con el público de grupos teatrales que tienen en su reparto a actores con historial de sufrimiento psíquico, con el objetivo de investigar a partir del estudio de la recepción estética de esas obras lo que produce el encuentro entre arte, locura y sociedad. Se realizaron entrevistas semiestructuradas con públicos de tres espectáculos teatrales para comprender la relación establecida por el público con esas producciones, el sentido atribuido a ellas y su potencial de transformación cultural alrededor de la locura. Las entrevistas se analizaron con el método del discurso del sujeto colectivo. El análisis dejó en evidencia el potencial del teatro para tejer el “hilo” de la conexión entre locura y sociedad e indicó que la recepción estética puede ser una gran aliada en el trabajo de transformación cultural y social del imaginario alrededor de la locura.	Esta pesquisa foi realizada com público de grupos teatrais que possuem, em seu elenco, atores com histórico de sofrimento psíquico, visando investigar, a partir do estudo da recepção estética dessas obras, o que o encontro entre arte, loucura e sociedade produz. Foram realizadas entrevistas semiestruturadas com públicos de três espetáculos teatrais, utilizando-se um roteiro de questões a fim de se compreender a relação estabelecida pelo público com essas produções, o sentido atribuído a elas e seu potencial de transformação cultural em torno da loucura. As entrevistas foram analisadas por meio do método do Discurso do Sujeito Coletivo. A análise evidenciou o potencial do teatro de tecer o “fio” de conexão entre loucura e sociedade e indicou que a recepção estética, ao compor uma experiência, pode ser grande aliada no trabalho de transformação cultural e social do imaginário em torno da loucura.							0	0	0	0	0	1807-5762		SCIELO:S1414-32832014000200377		
J	Fang Xingfu								The Filtered Clones: An Analysts of the Character and Fate of the Clones in Never Let Me Go								FOREIGN LITERATURE STUDIES				36	2			104	111					APR 2014	2014	Kazuo Ishiguro's novel Never Let Me Go has gained popularity among critics since its first publication in 2005. It is questioned as well by some critics because of the characters' lack of rebellious consciousness in the novel. The theory of social character and social unconscious put forward by Erich Fromm can meet the need to find a new answer to the question: For the sake of their own purpose, human beings shape in the process of socialization, with the help of social filter consisting of language, logic and social taboos, the clones living in the techno-space, which leads to clones' obedience to "donating" their key body organs and their tortured miserable fate arranged by human.									0	0	0	0	0	1003-7519		WOS:000336881900014		
J	Caglioti, Daniela L.								Why and How Italy Invented an Enemy Aliens Problem in the First World War								WAR IN HISTORY				21	2			142	169		10.1177/0968344513498038			APR 2014	2014	The article addresses the question of why, during the First World War, the Italian government and nationalist public opinion conformed to other European countries' campaigns against enemy aliens in spite of the problem's very minor dimension. After analysing the shift from Germanophilia to Germanophobia, it explores the policies targeting civilians of enemy nationality (mainly Austro-Hungarians and Germans), and assesses their implementation. By using statistical data on the presence of aliens in Italy, official documents, and the nationalist press, it shows that Italy waged a twofold campaign against an often imaginary enemy. The first was conducted mainly by nationalists and resulted in press campaigns, rumours, and brief eruptions of violence against alien targets. The second was conducted through decrees, administrative provisions, police activity, and military orders intended to affect personal freedom and property rights. The article inserts the Italian case into a broader European comparative framework.									1	0	0	0	1	0968-3445		WOS:000337287100001		
J	Mansilla, Sergio								La entropía de los territorios patagónicos: Para una lectura de El cementerio más hermoso de Chile, de Christian Formoso								Revista chilena de literatura					86			157	175					2014-04	2014	This article proposes and discusses some aspects of the poetic representation of the Magellanic territory which we find in El cementerio más hermoso de Chile . We advance on the thesis that the metaphor of the cemetary, which functions as a pivotal point for the author, synthesizes the telling of the history of entropy of time and of the place-state, whose unfolding, however, is not absolute death. On the contrary, as Kooch´s Tehuelche cosmogonic myth -which operates as the subtext for the collection- from the original sadness for loneliness and the enveloping darkness emerges, at last, a world of life with its lights and shadows.	Artículo en el que se proponen y discuten algunos aspectos de la representación poética del territorio magallánico que hallamos en El cementerio más hermoso de Chile . Se avanza la tesis de que la metáfora del cementerio, que sirve de pivote al poeta, sintetiza el relato de una historia de entropía del tiempo y del lugar-nación cuyo desenlace, sin embargo, no es la muerte absoluta. Al contrario, como en el mito cosmogónico tehuelche de Kooch -que opera como subtexto del poemario-, de la tristeza originaria por la soledad y la tiniebla envolvente emerge al fin el mundo de la vida con sus luces y sombras.								0	0	0	0	0	0718-2295		SCIELO:S0718-22952014000100008		
J	Calzoni, Giacomo								Of stories and the imaginary								CINEFORUM				54	3			30	32					APR 2014	2014										0	0	0	0	0	0009-7039		WOS:000338169800009		
J	Perez Vejo, Tomas								Manuel de la Barcena y Arce: A Life between Two Worlds								HISTORIA MEXICANA				63	4			1583	+					APR-JUN 2014	2014	In this study of the life and works of Manuel de la Barcena as an expression of the challenges faced by independentist elites, the author discusses both Barcena's changing and contradictory political and ideological positionings, and, most importantly, the rationale of his discourse, which expresses the difficult adaptation of imperial bureaucracy to a whole new time, forcing a complete change in imaginary frameworks and worldviews in the lapse of barely ten years.									0	0	0	0	0	0185-0172		WOS:000338407100002		
J	Jowitt, Claire								Treasure Neverland: Real and Imaginary Pirates								JOURNAL OF BRITISH STUDIES				53	2			521	522		10.1017/jbr.2014.27			APR 2014	2014										0	0	0	0	0	0021-9371		WOS:000339446400026		
