PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM	
J	Millerand, Florence; Ribes, David; Baker, Karen S.; Bowker, Geoffrey C.								Making an Issue out of a Standard: Storytelling Practices in a Scientific Community								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			7	43		10.1177/0162243912437221			JAN 2013	2013	The article focuses on stories and storytelling practices as explanatory resources in standardization processes. It draws upon an ethnographic study of the development of a technical standard for data sharing in an ecological research community, where participants struggle to articulate the difficulties encountered in implementing the standard. Building from C. Wright Mills' classic distinction between private troubles and public issues, the authors follow the development of a story as it comes to assist in transforming individual troubles in standard implementation into an institutional issue for the ecological scientific community. The authors present the "hands-on" social science collaboration in this study as an example of a mechanism for supporting institutionalization of issues. Finally, the authors argue that narratives can serve as effective organizing principles within institutional settings, thereby providing an approach to understand the practical, substantive difficulties that occur in work with data in the sciences.									2	0	0	0	2	0162-2439		WOS:000313988900001		
J	Niezen, Maartje G. H.; Bal, Roland; de Bont, Antoinette								Reconfiguring Policy and Clinical Practice: How Databases Have Transformed the Regulation of Pharmaceutical Care?								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			44	66		10.1177/0162243911435277			JAN 2013	2013	This article's aim is to understand if and how the efforts to accumulate and organize clinical data transformed the regulation of pharmaceutical care. The authors analyze how the employment of databases by collectives of physicians and researchers shape both clinical and policy practice-and thereby reshape the relation between clinical work and policy. Since the late 1990s, Dutch government has supported the development of clinical databases for specific expensive medicines to gain oversight about actual medicine use. To be able to produce evidence for appropriate medicine use, the collectives set regulations in clinical practice. These internal regulations provide a framework for establishing "appropriate medicine use", steering reimbursement decisions. However, internal regulation and policy rules differ in how quickly they can change. While the employment of databases in clinical practices results in a constant adjustment of the protocols, policy makers require the databases to provide for static moments of "proven appropriate medicine use" in order to account for and define a fixed and closed formulary. Subsequently, the employment of the databases did not deliver on the promise of oversight and control due to different clinical and policy requirements. Nevertheless, the databases did stimulate appropriate medicine use and reimbursement in clinical practice.									0	0	0	0	0	0162-2439		WOS:000313988900002		
J	Grundmann, Reiner								"Climategate" and The Scientific Ethos								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			67	93		10.1177/0162243911432318			JAN 2013	2013	In late 2009, e-mails from a server at the Climate Research Unit at the University of East Anglia were released that showed some climate scientists in an unfavorable light. Soon this scandal was known as "Climategate" and a highly charged debate started to rage on blogs and in the mass media. Much of the debate has been about the question whether anthropogenic global warming was undermined by the revelations. But ethical issues, too, became part and parcel of the debate. This article aims to contribute to this debate, assessing the e-mail affair in the light of two normative analyses of science, one proposed by Robert Merton (and developed further by some of his followers), the second by a recent suggestion to use the concept of honest brokering in science policy interactions. On the basis of these analyses, different aspects of malpractice will be discussed and possible solutions will be suggested.									6	0	0	0	6	0162-2439		WOS:000313988900003		
J	Levidow, Les; Birch, Kean; Papaioannou, Theo								Divergent Paradigms of European Agro-Food Innovation: The Knowledge-Based Bio-Economy (KBBE) as an R&D Agenda								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			94	125		10.1177/0162243912438143			JAN 2013	2013	The Knowledge-Based Bio-Economy (KBBE) has gained prominence as an agricultural R&D agenda of the European Union. Specific research policies are justified as necessary to create a KBBE for societal progress. Playing the role of a master narrative, the KBBE attracts rival visions; each favours a different diagnosis of unsustainable agriculture and its remedies in agro-food innovation. Each vision links a technoscientific paradigm with a quality paradigm: the dominant life sciences vision combines converging technologies with decomposability, while a marginal one combines agro-ecology with integral product integrity. From these divergent visions, rival stakeholder networks contend for influence over research policies and priorities, especially within the Framework Programme 7 (FP7) on Food, Agriculture, Fisheries and Biotechnology (FAFB), which has aimed to promote a Knowledge-Based Bio-Economy. Although the FAFB programme has favoured a life sciences vision, agro-ecological approaches have gained a presence, thus overcoming their general lock-out from agricultural research agendas. In their own way, each rival paradigm emphasises the need for collective systems to gather information for linking producers with users, as a rationale for the public sector to fund distinctive research priorities.									5	0	3	0	5	0162-2439		WOS:000313988900004		
J	Johnson, David R.								"Technological Change and Professional Control in the Professoriate"								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			126	149		10.1177/0162243911430236			JAN 2013	2013	Scholarship on technological change in academe suggests that the adoption of instructional technologies will erode professional control. Researchers have documented the pervasiveness of new technologies, but neither demonstrate how technological change is experienced by faculty nor collect data that permit assessment of consequences for professional control. Drawing on a sample of interviews with forty-two professors at three research-intensive universities, this research makes two contributions to existing research. First, in contrast to existing depictions of technological change in higher education, the findings reveals that academics perceive instructional technologies to have limited value in enhancing education and that technology use is rarely motivated by pedagogical innovation. Second, the study suggests that a relationship between technological change and "unbundling" of the academic role may be overstated. These data indicate that technological change threatens professional autonomy through exclusion from decision-making processes, increased workloads, and delimited teaching and research roles.									2	0	0	0	2	0162-2439		WOS:000313988900005		
J	Rayzberg, Margarita S.; Cardenas, Ricardo Sanchez								The Postcolonial Science and Technology Studies								SCIENCE TECHNOLOGY & HUMAN VALUES				38	1			150	153		10.1177/0162243912468775			JAN 2013	2013										0	0	0	0	0	0162-2439		WOS:000313988900006		
J	Nelson, Nicole C.								Modeling mouse, human, and discipline: Epistemic scaffolds in animal behavior genetics								SOCIAL STUDIES OF SCIENCE				43	1			3	29		10.1177/0306312712463815			FEB 2013	2013	Animal models of human disorders are a ubiquitous feature of contemporary biomedical research, but how is their value and role in understanding human disorders established? This article examines the dynamics of building up (and sometimes knocking down) claims about what a model can demonstrate in the field of animal behavior genetics. Drawing on long-standing analogies that describe scientific knowledge production as a process of construction, I introduce the metaphor of an 'epistemic scaffold' to illuminate how scientists create and contest claims about the utility of animal models. The flexible, temporary nature of scaffolding draws attention to the processes of building up claims to increasingly risky heights and reconfiguring the evidence supporting particular models by including or excluding particular facts and claims. As researchers include or exclude observations from epistemic scaffolds, to contest or build up different links, they gradually frame human disorders. Negotiations over how much to claim about the utility of animal models also reflect larger tensions in the discipline concerning what animal studies reveal about human disorders.									3	0	0	0	3	0306-3127		WOS:000313595400001		
J	Pickersgill, Martyn								How personality became treatable: The mutual constitution of clinical knowledge and mental health law								SOCIAL STUDIES OF SCIENCE				43	1			30	53		10.1177/0306312712457722			FEB 2013	2013	In recent years, personality disorders - psychiatric constructs understood as enduring dysfunctions of personality - have come into ever-greater focus for British policymakers, mental health professionals and service-users. Disputes have focussed largely on highly controversial attempts by the UK Department of Health to introduce mental health law and policy (now enshrined within the 2007 Mental Health Act of England and Wales). At the same time, clinical framings of personality disorder have dramatically shifted: once regarded as untreatable conditions, severe personality disorders are today thought of by many clinicians to be responsive to psychiatric and psychological intervention. In this article, I chart this transformation by means of a diachronic analysis of debates and institutional shifts pertaining to both attempts to change the law, and understandings of personality disorder. In so doing, I show how mental health policy and practice have mutually constituted one another, such that the aims of clinicians and policymakers have come to be closely aligned. I argue that it is precisely through these reciprocally constitutive processes that the profound reconfiguration of personality disorder from being an obdurate to a plastic condition has occurred; this demonstrates the significance of interactions between law and the health professions in shaping not only the State's management of pathology, but also perceptions of its very nature.									3	0	0	0	3	0306-3127		WOS:000313595400002		
J	Schleifer, David								Categories count: Trans fat labeling as a technique of corporate governance								SOCIAL STUDIES OF SCIENCE				43	1			54	77		10.1177/0306312712461573			FEB 2013	2013	This article explains how regulators use categorization, quantification, and labeling to change how corporations manufacture commercial products. The Food and Drug Administration wanted to create an incentive for manufacturers to replace trans fats by requiring food labels to disclose trans fat content. The Food and Drug Administration initially proposed categorizing trans fats as saturated fats and quantifying both substances with one number on labels, but industry actors largely favored quantifying trans fats separately from saturated fats. Industry actors argued that such an approach would show consumers which products had been reformulated to contain 0 g of trans fats, thus allowing manufacturers to market reformulated products as 'healthier' and rewarding investments in alternative technologies. The Food and Drug Administration ultimately decided to categorize and quantify the two fats separately, specifically designing the disclosure of quantitative information in order to encourage technological change. Thus, I argue that quantifying information on commercial product labels was not only intended to govern individual consumption but was also intended to govern production in anticipation of individuals governing their consumption. Regulators used their capacity to quantify as a means to govern industrial production.									1	0	0	0	1	0306-3127		WOS:000313595400003		
J	Kuchinskaya, Olga								Twice invisible: Formal representations of radiation danger								SOCIAL STUDIES OF SCIENCE				43	1			78	96		10.1177/0306312712465356			FEB 2013	2013	This article examines the politics of formal representations of environmental hazards. Certain environmental hazards are made publicly invisible when their formal representations are misaligned with what can be measured in practice under the existing socioeconomic and technoscientific conditions. Conversely, better aligning formal representations and measurement capabilities helps reveal the scope of such hazards. Such (mis)alignment of formal representations is a relative, dialogical, and historically specific process. It requires not only experts and their specialized knowledge, but also contextual knowledge of the actual local conditions. The work of alignment of formal representations requires public 'un-black-boxing' of these formalisms. It also depends on much infrastructural work, which I describe as the invisible work of making visible. (Mis)alignment of formal representations is illustrated here with the examples of three successive concepts of radiation protection in Belarus, a former Soviet Union republic that was covered with much of the Chernobyl fallout. Revisions to the radiation protection concept first expanded and then dramatically shrank the scope of the officially recognized and publicly visible radioactive contamination in Belarus.									3	0	0	0	3	0306-3127		WOS:000313595400004		
J	Laursen, Ditte								Co-participation among school children around a computer-based exhibit								SOCIAL STUDIES OF SCIENCE				43	1			97	117		10.1177/0306312712455114			FEB 2013	2013	This paper investigates the different forms of social interaction that emerge between young science centre visitors (aged 9-14 years) around a specific computer-based exhibit, which, like most computer-based exhibits, prioritizes an individual user. Based on video recordings, the paper shows that these young visitors, unlike adults, engage in various forms of co-participation around the exhibit. The empirical analysis compares different degrees of participation among the participants, ranging from minimal to full participation. The analysis shows that the affordances of a computer-based exhibit do not impose themselves upon visitors' actions at that exhibit. While the exhibit has a preferred use - a 'prescribed interaction', which prioritizes an individual user - the schoolchildren in the study mould what may seem like natural functions of the exhibit.									0	0	0	0	0	0306-3127		WOS:000313595400005		
J	Irwin, Alan; Jensen, Torben Elgaard; Jones, Kevin E.								The good, the bad and the perfect: Criticizing engagement practice								SOCIAL STUDIES OF SCIENCE				43	1			118	135		10.1177/0306312712462461			FEB 2013	2013	Criticism seems to be a recurring and significant characteristic of public engagement exercises - as reflected both in general political discussion and in the academic literature on public engagement with science. This article suggests that rather than being a distraction from the main business of 'technical democracy', criticism lies at the heart of public engagement and in that way should be seen not simply as an unwelcome and unanticipated by-product but rather as a key constituent. Taking inspiration from previous science and technology studies' treatments of 'bottom line' moves and also from Boltanski and Thevenot's sociology of critical capacity, this article adopts an approach to radical critique that explores its 'dynamic-yet-patterned' character. Building upon a 'translation' model, but also a framework taken from the martial arts, a reconstruction is offered of one empirical study of lay membership on scientific advisory committees. Conclusions are drawn concerning not only the analysis of critical dialogue around engagement but also the implications for democratic practice.									5	0	0	0	5	0306-3127		WOS:000313595400006		
J	Bevan, Valerie; Learmonth, Mark								'I wouldn't say it's sexism, except that ... It's all these little subtle things': Healthcare scientists' accounts of gender in healthcare science laboratories								SOCIAL STUDIES OF SCIENCE				43	1			136	158		10.1177/0306312712460606			FEB 2013	2013	We explore healthcare scientists' accounts of men in healthcare science laboratories. By focussing on subtle masculinist actions that women find disadvantageous to them, we seek to extend knowledge about women's under-representation in senior positions in healthcare science - despite women being in the majority at junior levels. We maintain that healthcare science continues to be dominated by taken-for-granted masculinities that marginalize women, keeping them in their 'place'. Our aim is to make visible the subtle practices that are normally invisible by showing masculinities in action. Principally using feminist analyses, our findings show that both women and men are often unaware of taken-for-granted masculinist actions, and even when women do notice, they rarely challenge the subtle sexist behaviour.									2	0	0	0	2	0306-3127		WOS:000313595400007		
J	Beisel, Uli; Kelly, Ann H.; Tousignant, Noemi								Knowing Insects: Hosts, Vectors and Companions of Science INTRODUCTION								SCIENCE AS CULTURE				22	1	SI		1	15		10.1080/09505431.2013.776367			MAR 1 2013	2013	The social analysis of insects has challenged our concepts of sociability, intentionality and language, while investigations of their habitats have informed how we construct and manage public space. Including entomological expertise, insect knowledge has been integral to the expansion of empire, the emergence of secular science, and in the managerial revolution that linked technology to agricultural improvement. Reading insects as hosts, vectors and companions of science, this special issue Introduction opens up the epistemic, biopolitical and social dimensions of humaninsect connections. Drawing insight from studies into the material culture of science, postcolonial geographies and a burgeoning literature on humananimal relations, we invite readers to consider how practices and products of science are made up of encounters between scientists and insects. By parsing these intersections, we can begin to understand the kinds of knowledge made possible and elusive by insects' capacity to connect and carry, inscribe and destabilize, disgust and inspire. Insects are good to think with because of the analogies that can be drawn to human life and social order. Moreover, thinking with insects is foremost a task of theoretical innovation, one that has allowed us to re-examine how life produces space, time and history, and to intensify entanglements of ecological, institutional and experimental relations.									3	0	0	0	3	0950-5431		WOS:000317299200001		
J	Clark, Nigel								Mobile Life: Biosecurity Practices and Insect Globalization								SCIENCE AS CULTURE				22	1	SI		16	37		10.1080/09505431.2013.776366			MAR 1 2013	2013	Recent decades have seen a series of high-profile public health crises involving viruses, bacteria and other biological agents, together with escalating concern over impacts of biological invasion on crops and ecosystems. In the context of intensifying globalization, such hazards are being viewed as serious security' threats. For critical social theorists, this growing concern with biosecurity at the global scale has worrying implications, in that it promotes a state of fear over life itself' which is being used to justify heightened surveillance and increasingly intrusive intervention. However, there are alternative perspectives on living with adventitious and unpredictable biological life. For over a century and a half, settler societies' such as Aotearoa New Zealand and Australia have been grappling with the environmental and economic impacts of non-native organisms running wild. Examining events surrounding an incursion of tussock moths in Auckland, it is argued that biosecurity policy can also be viewed as a flexible and evolving response to uncertainties associated with translocated biological life. Furthermore, the peripheral' tradition of sustained inquiry around the issue of which organisms belong in which places leads us back to questions about the characteristics of insects themselves and about the dynamics of the environments with which they interact. In this way, critical thinking around biosecurity is opened to a depth of engagement with evolutionary and geological processes that offer new dimensions to thinking about the biopolitics' and geopolitics' of encountering life out of bounds.									3	0	0	0	3	0950-5431		WOS:000317299200002		
