PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM	
J	MADDISON, RE								MIND OF SCIENTIST - IMAGINARY CONVERSATIONS WITH GALILEO, NEWTON, HERSCHEL, DARWIN, AND PASTEUR - HOSKIN,M								ANNALS OF SCIENCE				28	2			207	208					1972	1972										0	0	0	0	0	0003-3790		WOS:A1972M735500008		
J	MACLACHL.J								TEST OF AN IMAGINARY EXPERIMENT OF GALILEOS								ISIS				64	223			374	379		10.1086/351130			1973	1973										15	0	0	0	15	0021-1753		WOS:A1973R429200007		
J	SCRIBA, CJ								ESSAY ON MANNER OF PRESENTING IMAGINARY QUANTITIES IN GEOMETRIC CONSTRUCTIONS - FRENCH - ARGAND,R								ISIS				65	227			281	281		10.1086/351286			1974	1974										0	0	0	0	0	0021-1753		WOS:A1974U142900031		
J	MACLACHLAN, J								GALILEOS EXPERIMENTS WITH PENDULUMS - REAL AND IMAGINARY								ANNALS OF SCIENCE				33	2			173	185		10.1080/00033797600200211			1976	1976										9	0	0	0	9	0003-3790		WOS:A1976BN78000004		
J	DURBIN, PT								THE IMAGINARY WITNESS - THE CRITICAL-THEORY OF MARCUSE,HERBERT - SCHOOLMAN,M								TECHNOLOGY AND CULTURE				24	3			550	553		10.2307/3104802			1983	1983										0	0	0	0	0	0040-165X		WOS:A1983RD77300039		
J	BOULEZ, P								BERLIOZ AND THE REALM OF THE IMAGINARY								DAEDALUS				115	4			175	184					FAL 1986	1986										0	0	0	0	0	0011-5266		WOS:A1986F012300016		
J	BUSSCHBACH, JJV; HESSING, DJ; DECHARRO, FT								THE UTILITY OF HEALTH AT DIFFERENT STAGES IN LIFE - A QUANTITATIVE APPROACH								SOCIAL SCIENCE & MEDICINE				37	2			153	158		10.1016/0277-9536(93)90451-9			JUL 1993	1993	Thirty students and thirty-five elderly people compared the quality of life of imaginary patients of different ages suffering from end-stage renal disease. By manipulating the time the imaginary patients had to be on a transplantation waiting list, the utility of health at different periods of life could be compared. Except for the very young, respondents found health in the early periods of life to be twice as important as in the last decade of life. Health at age 35 had an utility somewhere between these two extremes. The responses of the elderly people showed remarkable resemblance to the students' responses, suggesting that the results reflect a general ethical standard. The values found were tested by means of a factorial design and found to fulfill the qualifications of an interval scale.									53	0	6	2	53	0277-9536		WOS:A1993LK32900004	8351530	
J	GOTTWEIS, H								GERMAN POLITICS OF GENETIC-ENGINEERING AND ITS DECONSTRUCTION								SOCIAL STUDIES OF SCIENCE				25	2			195	235		10.1177/030631295025002001			MAY 1995	1995	Policy-making, as exemplified by biotechnology policy, can be understood as an attempt to manage a field of discursivity, to construct regularity in a dispersed multitude of combinable elements. Following this perspective of politics as a textual process, the paper interprets the politicization of genetic engineering in Germany as a defence of the political as a regime of heterogeneity, as a field of 'dissensus' rather than 'consensus', and a rejection of the idea that the framing of technological transformation is an autonomous process. From its beginnings in the early 1970s, genetic engineering was symbolically entrenched as a key technology of the future, and as an integral element of the German politics of modernization. Attempts by new social movements and the Green Party to displace the egalitarian imaginary of democratic discourse into the politics of genetic engineering were construed by the political elites as an attack on the political order of post-World War II Germany. The 1990 Genetic Engineering Law attempted a closure of this controversy. But it is precisely the homogenizing idiom of this 'settlement' which continues to nourish the social movements and their radical challenge to the definitions and codings of the politics of genetic engineering.					1992 Annual Meeting of the American-Political-Science-Association	SEP 03-06, 1992	Amer Polit Sci Assoc	CHICAGO, IL	9	0	1	0	9	0306-3127		WOS:A1995RD68300001	11614113	
J	HENDERSON, R								OF LIFE-CYCLES REAL AND IMAGINARY - THE UNEXPECTEDLY LONG OLD-AGE OF OPTICAL LITHOGRAPHY								RESEARCH POLICY				24	4			631	643		10.1016/S0048-7333(94)00790-X			JUL 1995	1995	The history of many industries can be characterized as a series of technological 'life cycles'. This has led some to argue that the limits to a technology are a predictable function of its underlying physics and the structure of the dominant design. This paper uses the unexpectedly long old age of optical photolithographic alignment technology to suggest that this belief is probably incorrect. Unexpected changes in user needs and in the capabilities of component and complementary technologies permitted optical photolithography to dramatically exceed its 'natural' limits. However belief in the existence of a predictable life cycle had important implications for the evolution of the technology since it provided a framework within which industry participants embedded tacitly held, largely unexamined knowledge about the ways in which user needs and component and complementary technologies were likely to evolve. These results lend support to those that have argued that it is important to explore both the social context of a technology and the dynamics of the technology itself if one is to fully understand patterns of technological evolution.									56	0	0	0	56	0048-7333		WOS:A1995RD61200008		
J	Ramadas, J; Barve, S; Kumar, A								Alternative conceptions in Galilean relativity: Inertial and non-inertial observers								INTERNATIONAL JOURNAL OF SCIENCE EDUCATION				18	5			615	629		10.1080/0950069960180509			JUL-AUG 1996	1996	This concluding part of a study on Galilean relativity focuses on students' notions with regard to the inertial and non-inertial character of frames of reference. (See Panse et al. 1994, Ramadas et al. 1996). The results show that students: adopt kinematic criteria for deciding the inertial or non-inertial character of frames; consider this character to be a 'relative' property of two frames rather than an intrinsic property of a given frame; and equate pseudo-forces to 'imaginary' forces. Centrifugal force is associated with rotating objects rather than with rotating frames; the latter are localized by the finite extension of their associated objects. Anthropomorphic criteria are invoked to judge the existence of centrifugal force, which is regarded as a reaction (in the sense of Newton's third law) to the centripetal force on a rotating object.									8	0	0	0	8	0950-0693		WOS:A1996UU46500008		
J	Adams, J								A 'Richter scale for risk'? Scientific management of uncertainty versus management of scientific uncertainty								INTERDISCIPLINARY SCIENCE REVIEWS				23	2			146	155					JUN 1998	1998	There have recently been calls in the UK for the development of a 'Richter scale for risk'. It is helpful when considering the merits of these proposals to distinguish three categories of risk: directly perceptible risk, e.g. climbing a tree, riding a bicycle; risks perceptible with the help of science, e.g, cholera and other infectious diseases; and virtual risks, about which scientists do not know or can not agree, e,g. BSE/CJD and suspected carcinogens. The professional management of directly perceptible risks is made difficult and frustrating by people insisting on being their own risk managers, and overriding the judgements of risk experts and the interventions of safety regulators. Risks perceived through science are framed in terms of probabilities. The Richter scale for risk seeks, by means of a table of 'benchmark risks', to help scientists communicate their knowledge of risk to the lay public. But frequently these probabilities are nothing but confident sounding expressions of uncertainty. We do not respond blankly to uncertainty; we impose meanings upon it, and act upon these meanings. Virtual risks may or may not be imaginary - but they hare real consequences. The diverse responses to the inconclusive scientific evidence about issues such as BSE;, pesticide residues, low level radiation, and global warming indicate that virtual risks are perceived through different cultural filters. The incoherent and inconclusive debates about such issues suggest the need for a better understanding of these fillers.					BAAS Annual Festival of Science	SEP 07-12, 1997	BAAS	UNIV LEEDS, LEEDS, ENGLAND	2	0	1	0	2	0308-0188		WOS:000074871500008		
J	Cerezuelle, D								The limits of formal education: a report from France								TECHNOLOGY IN SOCIETY				20	3			307	315		10.1016/S0160-791X(98)00015-3			AUG 1998	1998	Formal education in modem technoscientific society undermines the informal foundations of learning, which are traditionally acquired outside of school in the home, at work, and in community environments. As students spend increasing amounts of their time in school, the singular focus of our educational system on the teaching of abstract knowledge-alien to students' personal experiences and without concrete meaning in their lives-leads to a "culture of pretending" in which curricula are designed and degrees awarded based on the imaginary capacities of students. From the perspective of a teacher, this paper relates my personal observations and conclusions on the effects of the technoscientific educational system on contemporary French students and, by extension, on French society. A prudent "deschooling" of society is called for, as well as renunciation of the technoscientific ideal. (C) 1998 Elsevier Science Ltd. All rights reserved.									0	0	0	0	0	0160-791X		WOS:000077139600007		
J	Reiner, M; Gilbert, J								Epistemological resources for thought experimentation in science learning								INTERNATIONAL JOURNAL OF SCIENCE EDUCATION				22	5			489	506		10.1080/095006900289741			MAY 2000	2000	Thought Experiments (TEs) are reasoning processes that are based on 'results' of an experiment carried out in thought. What is the validity of an experiment - that has not been actually executed - for knowledge about the physical world! What are the features that make it distinctive and how do we integrate it into learning environments to support such thought processes! This study suggests that a thought experiment draws on three epistemological resources: conceptual-logical inferences, visual imagery and bodily-motor experience. We start by stating how students' TEs are related to recent research on learning science and then proceed to describe the nature of TEs. The central part of the paper deals with cognitive theories and empirical examples of visual imagery and bodily imagery. It also deals with how these enable implicit knowledge about the world to be retrieved. Students may have, but are not aware of, such knowledge for it is hidden when learning is only based on format representations. We show that imagination is structured, goal-oriented, based on prior experiential imagery and internally coherent. Students can, for example, mentally rotate objects at constant velocity. Students can 'zoom in and out' to inspect imaginary situations, transfer objects, predict paths of imaginary moving objects and imagine the impact of forces on mechanical systems. We show thar the TEs are powerful because of these capabilities. We further claim that these are not exploited by school learning environments and offer a first step towards understanding imagery in science learning.									43	0	0	2	43	0950-0693		WOS:000087033800003		
J	Wragg, JA; Robinson, EJ; Lilford, RJ								Information presentation and decisions to enter clinical trials: a hypothetical trial of hormone replacement therapy								SOCIAL SCIENCE & MEDICINE				51	3			453	462		10.1016/S0277-9536(99)00477-3			AUG 2000	2000	We examined recruitment to an imaginary trial of hormone replacement therapy (HRT) following two different styles of information about HRT. We predicted that for treatments which, like HRT, are available outside a trial, people offered the facts as currently known would be less likely to remain unsure about the relative costs and benefits, and so less likely to agree to enter a randomised trial. In contrast, when the information provided reflected the current state of uncertainty which justified the trial, we predicted that people would be less likely to form a preference for one treatment arm over the other, and so more likely to agree to enter a trial. One hundred women aged 25-40 years were informed about HRT via a video and an information leaflet. For half the participants the information was Framed in a way which emphasised the current state of uncertainty about the relative costs and benefits of HRT, and in that respect it reflected the justification for a trial. This version was considered to be similar in style to information commonly provided to potential trial participants. For half the participants the same information was framed in a way which offered explicit numerical detail about currently known facts, and in that respect it was considered to be similar in style to information commonly available to doctors prior to a trial. Women learned as much about HRT in the two conditions, but women given the explicit versions were more likely (i) to hold a stronger view about whether or not they would take HRT (ratings wire not elicited from the first 30 participants in this condition. N = 20, p < 0.05 1 tailed) and (ii) to refuse entry to the trial (N = 50, p < 0.05 2 tailed). Those who, given the explicit version, agreed rather than refused to enter the trial, scored higher on believing that others control their health (p < 0.01 2 tailed). (C) 2000 Elsevier Science Ltd. All rights reserved.									31	0	8	0	31	0277-9536		WOS:000087168500012	10855931	
J	Shepardson, DP; Britsch, SJ								The role of children's journals in elementary school science activities								JOURNAL OF RESEARCH IN SCIENCE TEACHING				38	1			43	69		10.1002/1098-2736(200101)38:1<43::AID-TEA4>3.0.CO;2-I			JAN 2001	2001	This article reports on a study that investigated the ways that children's use of science journals aided their acquisition of science understandings in one kindergarten and one fourth-grade classroom. The questions for investigation were: how does the child contextualize the science experience on the journal page? How do child-produced graphics on the journal page reflect the children's experiences with other school texts? The study found that children recontextualized their understandings of the science investigation and phenomena by using three types of mental contexts that were reflected in their science journals: these contexts were imaginary, experienced, and investigative worlds. By drawing on these three worlds or internal contexts, the children were able to pull the external phenomenon into an internal context that was familiar to them. The child's construction of ideas about a current science experience as expressed on the journal page may reflect experiences with other conventional texts. In this study the children's representations of their imaginary, experienced and/or investigative worlds were shaped by other texts and structures such as school science texts. (C) 2000 John Wiley & Sons, Inc. J Res Sci Teach 38: 43-69, 2001.									9	0	0	0	9	0022-4308		WOS:000166326700004		
J	Zebrowski, E								An imaginary tale: The story of the square root of minus one.								ISIS				92	1			129	130					MAR 2001	2001										0	0	0	0	0	0021-1753		WOS:000169489000009		
J	Bowker, GC; Star, SL								Pure, real and rational numbers: The American imaginary of countability								SOCIAL STUDIES OF SCIENCE				31	3			422	425		10.1177/030631201031003006			JUN 2001	2001										3	0	0	0	3	0306-3127		WOS:000170532100006		
J	Stoller, N								Space, place and movement as aspects of health care in three women's prisons								SOCIAL SCIENCE & MEDICINE				56	11			2263	2275	PII S0277-9536(02)00226-5	10.1016/S0277-9536(02)00226-5			JUN 2003	2003	This paper focuses on prison as a place in which the prisoner seeks health and health services. Drawing on the work of Henri LeFebvre, Edward Casey, Jeffrey Malpas, and Michel Foucault, a spatial analysis examines the constitutive roles of movement, social structure, and power in determining the prisoner's access to health care. The research methodology utilizes quantitative and qualitative analysis of women prisoners' attempts to get treatment for their health problems. The narratives of these often-failed attempts construct prison as a place where health care access is continually thwarted by rules, custodial priorities, poor health care management, incompetence, and indifference. Analysis of spatial practices, representations of space, and spaces of representation demonstrate the imposition of structural ordering, its naturalization, and the role of narrative in questioning the order, thereby creating possibilities for imaginary and real places where the prisoners' health needs can be met. Simultaneously, this analysis illuminates basic ethical questions about the limitations of human connection and medical caring in prison settings, regardless of the personal motivation of the caregiver. (C) 2002 Elsevier Science Ltd. All rights reserved.									20	1	1	0	22	0277-9536		WOS:000182953400004	12719180	
J	Davis, KK; Davis, JS; Dowler, L								In motion, out of place: the public space(s) of Tourette Syndrome								SOCIAL SCIENCE & MEDICINE				59	1			103	112		10.1016/j.socscimed.2003.10.008			JUL 2004	2004	According to Doris Humphrey, "Nothing so clearly or inevitably reveals the inner man [sic] than movement and gesture... the moment you move you stand revealed, for good or ill, for what you are" (The dance notebook, 1984). Tourette Syndrome, characterized by motor and vocal tics, elicits stigma for just this reason: the tics and movements it causes have revealed Touretters as something beyond the 'normal.' This paper examines the ways Touretters are perceived and received in public spaces, using published illness narratives and film documentaries to address the question of why the reactions TS invokes are so severe. We will demonstrate how the stigma surrounding the disorder stems from the perception of Touretters as disruptive to the order and health of public spaces. To describe the production of stigma and the violent reactions to TS individuals, we draw upon theories of bodies and performativity from feminist studies, Catherine Waldby's work with the imaginary anatomy, and geographical perspectives on the social construction of space. The geographic studies of space are used to illuminate discussions of people's life experiences by showing how body movements associated with illness produce stigma by transgressing the unwritten codes that govern particular public spaces. Our intention in this paper is not to introduce new empirical data, but rather to analyze the mechanisms of stigma formation produced by the complex relationships between the functioning of social spaces and individuals' experiences of illness. (C) 2003 Elsevier Ltd. All rights reserved.									10	0	4	1	11	0277-9536		WOS:000221190600010	15087147	
