,x
1,activist imaginary
2,affective imaginary
3,bioimaginary
4,biomedical imaginary
5,biopolitical imaginary
6,corporeal imaginary
7,cosmopolitan imaginary
8,countercultural imaginary
9,figuration
10,future imaginary
11,genetic imaginary
12,geographical imaginary
13,global imaginary
14,imaginary society
15,imagination
16,imagined community
17,institutional imaginaries
18,liberatory imaginary
19,medical imaginary
20,network imaginary
21,performative imaginary
22,philosophical imaginary
23,political imaginary
24,practice-bound imaginary
25,public imaginaries
26,reiterative imaginary
27,scientific imaginary
28,social imaginary
29,sociotechnical imaginary
30,specular imaginary
31,state imaginaries
32,technoscientific imaginary
33,the imaginary
34,topological imaginary
35,urban sanitation imaginary
